location,scenario,cohort,value,low,high
kenya,Catch-up 10-45 30%,45_50,19999.8190,19640.2377,20359.4003
kenya,Catch-up 10-45 30%,50_55,14549.4429,14422.5319,14676.3540
kenya,Catch-up 10-45 30%,55_60,9397.4591,9324.9385,9469.9797
kenya,Catch-up 10-45 40%,10_15,16483.3234,16356.4124,16610.2344
kenya,Catch-up 10-45 40%,15_20,28528.5414,28193.1335,28863.9492
kenya,Catch-up 10-45 40%,20_25,36796.6456,36011.0057,37582.2855
kenya,Catch-up 10-45 40%,25_30,38315.0464,38031.0074,38599.0854
kenya,Catch-up 10-45 40%,30_35,34908.0894,34207.0570,35609.1219
kenya,Catch-up 10-45 40%,35_40,31168.7464,31138.5295,31198.9633
kenya,Catch-up 10-45 40%,40_45,25986.5455,25412.4241,26560.6669
kenya,Catch-up 10-45 40%,45_50,19984.7106,19395.4807,20573.9404
kenya,Catch-up 10-45 40%,50_55,14953.5942,14890.1387,15017.0498
kenya,Catch-up 10-45 40%,55_60,9427.6760,9373.2855,9482.0664
kenya,Catch-up 10-45 50%,10_15,14334.1455,14325.0805,14343.2106
kenya,Catch-up 10-45 50%,15_20,24245.2933,24242.2717,24248.3149
kenya,Catch-up 10-45 50%,20_25,32045.0354,30993.4866,33096.5841
kenya,Catch-up 10-45 50%,25_30,34549.2630,34044.6405,35053.8855
kenya,Catch-up 10-45 50%,30_35,33061.0804,32181.7680,33940.3927
kenya,Catch-up 10-45 50%,35_40,29774.9912,29584.6246,29965.3577
kenya,Catch-up 10-45 50%,40_45,25151.8032,24786.1785,25517.4279
kenya,Catch-up 10-45 50%,45_50,19429.4746,19048.7414,19810.2078
kenya,Catch-up 10-45 50%,50_55,14489.0092,14295.6209,14682.3975
kenya,Catch-up 10-45 50%,55_60,9450.3386,9414.0783,9486.5989
kenya,Catch-up 10-45 60%,10_15,13760.0242,13599.8746,13920.1737
kenya,Catch-up 10-45 60%,15_20,21748.6206,21047.5881,22449.6530
kenya,Catch-up 10-45 60%,20_25,28366.1257,27532.1387,29200.1126
kenya,Catch-up 10-45 60%,25_30,31890.1743,30926.2547,32854.0940
kenya,Catch-up 10-45 60%,30_35,30945.8961,30495.6641,31396.1282
kenya,Catch-up 10-45 60%,35_40,28354.7960,28176.5163,28533.0758
kenya,Catch-up 10-45 60%,40_45,24653.2240,24233.2089,25073.2391
kenya,Catch-up 10-45 60%,45_50,19539.0110,19505.7723,19572.2497
kenya,Catch-up 10-45 60%,50_55,14560.7743,14382.4945,14739.0541
kenya,Catch-up 10-45 60%,55_60,9495.6640,9368.7530,9622.5751
kenya,Catch-up 10-45 70%,10_15,12309.6125,11798.9468,12820.2783
kenya,Catch-up 10-45 70%,15_20,18662.7180,18049.3147,19276.1213
kenya,Catch-up 10-45 70%,20_25,25778.8021,25352.7436,26204.8607
kenya,Catch-up 10-45 70%,25_30,29423.7185,28517.2110,30330.2261
kenya,Catch-up 10-45 70%,30_35,29514.3698,28922.1182,30106.6215
kenya,Catch-up 10-45 70%,35_40,27191.4447,26976.9046,27405.9848
kenya,Catch-up 10-45 70%,40_45,23875.1384,23612.2512,24138.0256
kenya,Catch-up 10-45 70%,45_50,19282.1672,18970.9330,19593.4015
kenya,Catch-up 10-45 70%,50_55,14636.3166,14548.6875,14723.9457
kenya,Catch-up 10-45 70%,55_60,9280.3685,9138.3490,9422.3880
kenya,Catch-up 10-45 80%,10_15,11146.2616,10931.7215,11360.8016
kenya,Catch-up 10-45 80%,15_20,15958.3041,15532.2457,16384.3626
kenya,Catch-up 10-45 80%,20_25,23384.1114,22190.5431,24577.6797
kenya,Catch-up 10-45 80%,25_30,27795.7821,27273.0293,28318.5348
kenya,Catch-up 10-45 80%,30_35,28109.2831,27275.2962,28943.2701
kenya,Catch-up 10-45 80%,35_40,26318.9313,26264.5409,26373.3217
kenya,Catch-up 10-45 80%,40_45,23119.7155,23080.4336,23158.9975
kenya,Catch-up 10-45 80%,45_50,19233.0648,18949.0257,19517.1038
