coverage,location,scenario,metric,value,low,high
30,kenya,Catch-up 25-40: TT,vaccinations,0.0000,,
30,kenya,Catch-up 25-45: TTV,cancers,331052.6503,324057.4376,338047.8630
30,kenya,Catch-up 25-45: TTV,cancer_deaths,290267.3610,284402.2587,296132.4633
30,kenya,Catch-up 25-45: TTV,vaccinations,2309750.5000,,
30,kenya,Catch-up 25-45: V,cancers,339241.4312,332584.6470,345898.2154
30,kenya,Catch-up 25-45: V,cancer_deaths,296752.6698,290951.0239,302554.3156
30,kenya,Catch-up 25-45: V,vaccinations,2309750.5000,,
30,kenya,Catch-up 25-45: TT,cancers,357330.0255,351050.9526,363609.0984
30,kenya,Catch-up 25-45: TT,cancer_deaths,309825.2603,303724.4666,315926.0540
30,kenya,Catch-up 25-45: TT,vaccinations,0.0000,,
30,kenya,Catch-up 25-50: TTV,cancers,324929.9516,317230.6851,332629.2181
30,kenya,Catch-up 25-50: TTV,cancer_deaths,285349.5610,278100.5243,292598.5977
30,kenya,Catch-up 25-50: TTV,vaccinations,2653528.2500,,
30,kenya,Catch-up 25-50: V,cancers,338655.9785,331899.4780,345412.4790
30,kenya,Catch-up 25-50: V,cancer_deaths,296688.4580,290297.5815,303079.3344
30,kenya,Catch-up 25-50: V,vaccinations,2653528.2500,,
30,kenya,Catch-up 25-50: TT,cancers,353314.9549,345679.1441,360950.7658
30,kenya,Catch-up 25-50: TT,cancer_deaths,307124.6233,299473.7013,314775.5453
30,kenya,Catch-up 25-50: TT,vaccinations,0.0000,,
30,kenya,Catch-up 25-55: TTV,cancers,321205.7156,312630.1581,329781.2731
30,kenya,Catch-up 25-55: TTV,cancer_deaths,282720.6910,275665.0434,289776.3387
30,kenya,Catch-up 25-55: TTV,vaccinations,2852491.7500,,
30,kenya,Catch-up 25-55: V,cancers,343789.0764,337313.5933,350264.5595
30,kenya,Catch-up 25-55: V,cancer_deaths,300926.3787,294861.8463,306990.9110
30,kenya,Catch-up 25-55: V,vaccinations,2852491.7500,,
30,kenya,Catch-up 25-55: TT,cancers,352008.0734,344541.4779,359474.6689
30,kenya,Catch-up 25-55: TT,cancer_deaths,305689.3209,298902.6044,312476.0375
30,kenya,Catch-up 25-55: TT,vaccinations,0.0000,,
30,kenya,Catch-up 25-60: TTV,cancers,319808.1839,312616.5612,326999.8066
30,kenya,Catch-up 25-60: TTV,cancer_deaths,282089.9108,275907.5325,288272.2890
30,kenya,Catch-up 25-60: TTV,vaccinations,3058623.7500,,
30,kenya,Catch-up 25-60: V,cancers,336623.8936,329819.0467,343428.7405
30,kenya,Catch-up 25-60: V,cancer_deaths,296050.1264,290393.5206,301706.7322
30,kenya,Catch-up 25-60: V,vaccinations,3058623.7500,,
30,kenya,Catch-up 25-60: TT,cancers,348015.6659,340388.9195,355642.4123
30,kenya,Catch-up 25-60: TT,cancer_deaths,303245.5277,295972.3179,310518.7374
30,kenya,Catch-up 25-60: TT,vaccinations,0.0000,,
30,kenya,Catch-up 30-35: TTV,cancers,356650.1473,348606.4069,364693.8878
30,kenya,Catch-up 30-35: TTV,cancer_deaths,311026.3815,304973.9347,317078.8283
30,kenya,Catch-up 30-35: TTV,vaccinations,633444.6875,,
30,kenya,Catch-up 30-35: V,cancers,357084.5138,349297.6179,364871.4096
30,kenya,Catch-up 30-35: V,cancer_deaths,310644.8944,304196.6064,317093.1824
30,kenya,Catch-up 30-35: V,vaccinations,633444.6875,,
30,kenya,Catch-up 30-35: TT,cancers,367124.0809,359107.5378,375140.6241
30,kenya,Catch-up 30-35: TT,cancer_deaths,319645.7564,312680.7587,326610.7540
30,kenya,Catch-up 30-35: TT,vaccinations,0.0000,,
30,kenya,Catch-up 30-40: TTV,cancers,349858.8960,342794.1839,356923.6082
30,kenya,Catch-up 30-40: TTV,cancer_deaths,305908.3899,299429.8846,312386.8952
30,kenya,Catch-up 30-40: TTV,vaccinations,1160405.0000,,
30,kenya,Catch-up 30-40: V,cancers,358474.4920,350645.2917,366303.6922
30,kenya,Catch-up 30-40: V,cancer_deaths,312495.6795,305418.8788,319572.4801
30,kenya,Catch-up 30-40: V,vaccinations,1160405.0000,,
30,kenya,Catch-up 30-40: TT,cancers,363490.4982,356791.4105,370189.5860
30,kenya,Catch-up 30-40: TT,cancer_deaths,315540.0326,309520.8231,321559.2421
30,kenya,Catch-up 30-40: TT,vaccinations,0.0000,,
