location,coverage,scenario,year,metric,value,low,high
kenya,70,Routine vax only,2028.0000,cancers,5518.3622,5102.8800,5828.0856
kenya,70,Routine vax only,2029.0000,cancers,5435.2657,5008.4523,5631.6759
kenya,70,Routine vax only,2030.0000,cancers,5801.6461,5578.7961,5971.6160
kenya,70,Routine vax only,2031.0000,cancers,5831.8630,5639.2300,5979.1702
kenya,70,Routine vax only,2032.0000,cancers,6164.2486,5998.0558,6383.3214
kenya,70,Routine vax only,2033.0000,cancers,6156.6943,6020.7188,6496.6348
kenya,70,Routine vax only,2034.0000,cancers,6266.2310,6013.1642,6507.9659
kenya,70,Routine vax only,2035.0000,cancers,6477.7493,6232.2369,6795.0268
kenya,70,Routine vax only,2036.0000,cancers,6643.9422,6353.1048,7002.7679
kenya,70,Routine vax only,2037.0000,cancers,6655.2733,6507.9662,6821.4661
kenya,70,Routine vax only,2038.0000,cancers,6727.0387,6436.2008,6847.9062
kenya,70,Routine vax only,2039.0000,cancers,6998.9911,6779.9183,7278.4973
kenya,70,Routine vax only,2040.0000,cancers,6912.1172,6715.7075,7289.8287
kenya,70,Routine vax only,2041.0000,cancers,6961.2199,6851.6832,7304.9372
kenya,70,Routine vax only,2042.0000,cancers,7119.8585,6866.7921,7301.1595
kenya,70,Routine vax only,2043.0000,cancers,7123.6356,6863.0148,7433.3588
kenya,70,Routine vax only,2044.0000,cancers,7059.4247,6923.4489,7263.3889
kenya,70,Routine vax only,2045.0000,cancers,7202.9551,6885.6776,7395.5875
kenya,70,Routine vax only,2046.0000,cancers,7214.2863,7082.0872,7422.0275
kenya,70,Routine vax only,2047.0000,cancers,7157.6298,6859.2375,7395.5876
kenya,70,Routine vax only,2048.0000,cancers,7233.1716,7010.3223,7414.4734
kenya,70,Routine vax only,2049.0000,cancers,7259.6118,6825.2440,7312.4910
kenya,70,Routine vax only,2050.0000,cancers,6991.4369,6836.5750,7206.7318
kenya,70,Routine vax only,2051.0000,cancers,7021.6534,6791.2497,7180.2925
